Modulo|CT|Nome|Descricao|Passos|Resultado Esperado|Criticidade|Status
Organograma|CT056|Adicionar impacto manual|Inserir descricao de impacto manualmente|1. Abrir modal de impactos 2. Digitar texto 3. Clicar em adicionar|Novo impacto aparece na lista com badge apropriado.|Baixa|passed
Colaboradores (CRUD)|CT057|Listar todos os colaboradores|Visualizar tabela completa de colaboradores|1. Acessar /colaboradores|Tabela com Nome Funcao Lider Imediato Acoes. Dados da empresa logada. Admins nao aparecem.|Alta|passed
Colaboradores (CRUD)|CT058|Listar sem colaboradores|Empresa sem colaboradores|1. Acessar /colaboradores em empresa nova|Estado vazio com link para criar primeiro colaborador.|Media|passed
Colaboradores (CRUD)|CT059|Cadastro valido|Criar colaborador com dados validos|1. Acessar /colaboradores/novo 2. Preencher Nome 3. Opcional: CPF (11 digitos) 4. Selecionar Funcao 5. Selecionar Lider 6. Salvar|Redirecionado para /colaboradores. Novo colaborador na tabela. Se CPF: email e senha gerados.|Critica|passed
Colaboradores (CRUD)|CT060|Cadastro sem nome|Tentar criar sem nome|1. Deixar Nome vazio 2. Clicar em Salvar|Validacao HTML5 bloqueia o envio.|Media|passed
Colaboradores (CRUD)|CT061|CPF invalido (letras)|Inserir CPF com caracteres nao numericos|1. Preencher CPF com abcdefghijk|Sistema aceita CPF alfanumerico. Fragilidade - corrigido com validacao de 11 digitos no servidor.|Media|corrigido (BUG-03)
Colaboradores (CRUD)|CT062|CPF duplicado|Tentar criar colaborador com CPF ja existente|1. Criar colaborador com CPF ja existente|Schema Prisma nao tem unique constraint. Sistema permite duplicado. Risco de producao.|Baixa|testar mais pra frente
Colaboradores (CRUD)|CT063|Limite de caracteres no nome|Inserir nome com mais de 200 caracteres|1. Inserir nome com 300 caracteres 2. Tentar salvar|Validacao no servidor impede nomes com mais de 120 caracteres.|Baixa|corrigido (BUG-03)
Colaboradores (CRUD)|CT064|Caracteres especiais no nome|Inserir nome com acentos emojis ou Unicode|1. Nome: Joao da Silva com emoji 2. Salvar|Sistema aceita normalmente (PostgreSQL + Prisma suportam Unicode).|Baixa|testar mais pra frente
Colaboradores (CRUD)|CT065|Excluir colaborador da tabela|Clicar em Excluir na tabela|1. Acessar /colaboradores 2. Clicar em Excluir em uma linha 3. Confirmar|Colaborador removido. Tabela atualizada.|Alta|passed
Colaboradores (CRUD)|CT066|Excluir com registros relacionados|Excluir colaborador que possui dados associados|1. Identificar colaborador com dados 2. Excluir|Cascade: avaliacoes metricas iniciativas deletadas. Conversas testes scores podem ficar orfaos.|Alta|testar mais pra frente - cascade incompleta
Avaliacoes de Desempenho|CT067|Listar avaliacoes|Visualizar lista de avaliacoes|1. Acessar /avaliacoes|Cards com avaliador avaliado badge sentimento data media criterios. Botao Nova Avaliacao.|Alta|testar mais a frente
Avaliacoes de Desempenho|CT068|Badge de sentimento|Verificar badge de analise de sentimento|1. Acessar /avaliacoes 2. Clicar no badge|Badge carrega sentimento via API. Popover exibe score e insights.|Media|testar mais a frente
Avaliacoes de Desempenho|CT069|Criar avaliacao valida|Criar avaliacao completa|1. Acessar /avaliacoes/nova 2. Selecionar Avaliador/Avaliado 3. Notas 1-5 nos criterios 4. Salvar|Redirecionado para /avaliacoes. Nova avaliacao na lista.|Alta|testar mais a frente
Avaliacoes de Desempenho|CT070|Criar sem avaliado|Tentar criar sem selecionar avaliado|1. Nao selecionar Avaliado 2. Salvar|HTML5 required bloqueia.|Media|testar mais a frente
Avaliacoes de Desempenho|CT071|Usar IA para feedback|Clicar em Gerar Feedback com IA|1. Preencher dados 2. Clicar em Gerar Feedback com IA 3. Aguardar|Comentario preenchido pela IA ou fallback deterministico.|Media|testar mais a frente
Avaliacoes de Desempenho|CT072|Excluir avaliacao|Excluir avaliacao da lista|1. Em /avaliacoes clicar Excluir 2. Confirmar|Avaliacao removida.|Media|testar mais a frente
Metricas Mensais|CT073|Listar metricas|Visualizar tabela de metricas|1. Acessar /metricas|Tabela: Colaborador Periodo Dias Faltas Atrasos Perfil Acoes. Perfil Ruim em vermelho.|Alta|testar mais a frente
Metricas Mensais|CT074|Listar metricas vazia|Sem metricas cadastradas|1. Acessar /metricas em empresa sem dados|Estado vazio com link Nova Metrica.|Media|testar mais a frente
Metricas Mensais|CT075|Criar metrica valida|Cadastrar metrica mensal|1. Acessar /metricas/nova 2. Selecionar colaborador/mes/ano 3. Preencher dias/faltas/atrasos 4. Salvar|Redirecionado para /metricas. Nova metrica na tabela.|Alta|testar mais a frente
Metricas Mensais|CT076|Valores negativos|Inserir valores negativos|1. Preencher diasTrabalhados com -5 2. Salvar|HTML5 min=0 bloqueia.|Media|testar mais a frente
Metricas Mensais|CT077|Valores muito altos|Inserir 9999 dias trabalhados|1. diasTrabalhados = 9999 2. Salvar|Sistema aceita. Dado inconsistente. Falta validacao de limite.|Baixa|testar mais a frente
Metricas Mensais|CT078|Excluir metrica|Remover metrica mensal|1. Em /metricas clicar Excluir|Metrica removida.|Media|nao testado
Iniciativas|CT079|Listar iniciativas|Visualizar cards de iniciativas|1. Acessar /iniciativas|Cards: titulo colaborador data descricao valor resultado. Botao Nova Iniciativa.|Media|testar mais a frente
Iniciativas|CT080|Criar iniciativa valida|Cadastrar iniciativa completa|1. Acessar /iniciativas/nova 2. Selecionar colaborador 3. Preencher dados 4. Salvar|Redirecionado para /iniciativas. Nova iniciativa na lista.|Media|testar mais a frente
Iniciativas|CT081|Sugerir com IA|Usar Sugerir com IA|1. Selecionar colaborador 2. Escrever rascunho 3. Clicar em Sugerir com IA|Campos preenchidos pela IA ou fallback.|Media|testar mais a frente
Iniciativas|CT082|Criar sem titulo|Tentar salvar sem titulo|1. Deixar titulo vazio|HTML5 required bloqueia.|Media|testar mais a frente
Conversas / Reunioes|CT083|Listar conversas|Visualizar cards de conversas|1. Acessar /conversas|Cards: tipo titulo data colaborador resumo. Link para detalhe.|Media|testar mais a frente
Conversas / Reunioes|CT084|Criar conversa valida|Registrar nova conversa|1. Acessar /conversas/nova 2. Selecionar dados 3. Salvar|Redirecionado para /conversas. Nova conversa na lista.|Media|testar mais a frente
Conversas / Reunioes|CT085|Detalhe da conversa|Visualizar detalhes completos|1. Em /conversas clicar em card 2. Observar pagina|Badge tipo titulo colaborador data. Grid 2-col: Positivos/Melhoria.|Media|testar mais a frente
Conversas / Reunioes|CT086|Conversa nao encontrada|Acessar ID inexistente|1. Acessar /conversas/id_inexistente|Pagina 404. Mensagem Conversa nao encontrada.|Media|testar mais a frente
Fit Cultural|CT087|Responder fit cultural valido|Submeter respostas do questionario|1. Acessar /fit-cultural 2. Selecionar colaborador 3. Notas 1-5 4. Salvar|Mensagem de sucesso. Respostas persistidas. Score calculado.|Alta|testar mais a frente
Fit Cultural|CT088|Responder sem colaborador|Tentar submeter sem selecionar|1. Nao selecionar Colaborador 2. Salvar|HTML5 required bloqueia.|Media|testar mais a frente
Fit Cultural|CT089|Visualizar perguntas|Ver tabela de perguntas|1. Acessar /fit-cultural 2. Secao Perguntas Cadastradas|Tabela com pergunta dimensao peso ordem.|Baixa|nao testado
Teste DISC|CT090|Responder teste DISC valido|Submeter respostas do teste DISC|1. Acessar /teste-disc 2. Selecionar colaborador 3. Notas 1-5 4. Salvar|Respostas salvas. Resultado calculado. Redirecionado.|Alta|nao testado
Teste DISC|CT091|Listar resultados DISC|Visualizar dashboard de resultados|1. Acessar /teste-disc/resultados|Cards: colaborador data perfil barras D/I/S/C.|Media|nao testado
Teste DISC|CT092|Resultados vazios|Nenhum resultado cadastrado|1. Acessar /teste-disc/resultados sem dados|Estado vazio com link Novo Teste.|Baixa|nao testado
Pesquisa de Sentimento|CT093|Registrar sentimento valido|Submeter pesquisa de sentimento|1. Acessar /pesquisa-sentimento 2. Selecionar colaborador/sentimento/nota 3. Salvar|Pesquisa registrada. Historico atualizado.|Alta|testar mais a frente
Pesquisa de Sentimento|CT094|Historico de sentimentos|Visualizar pesquisas anteriores|1. Apos registrar observar Historico|Cards com sentimento nota engajamento comentario data.|Media|testar mais a frente
Regras de Impacto|CT095|Listar regras de impacto|Visualizar regras cadastradas|1. Acessar /regras-impacto|Cards: tipo nome condicao descricao acoes. Regras inativas com opacidade.|Media|nao conseguiu visualizar - INVESTIGAR
Regras de Impacto|CT096|Criar regra valida|Criar nova regra|1. Clicar em + Nova Regra 2. Preencher dados 3. Salvar|Modal fecha. Nova regra na lista.|Media|nao conseguiu criar - INVESTIGAR
Regras de Impacto|CT097|Criar regra sem nome|Tentar criar sem nome|1. Abrir modal 2. Nome vazio 3. Salvar|Botao Salvar desabilitado (validacao).|Baixa|nao conseguiu criar - INVESTIGAR
Regras de Impacto|CT098|Editar regra|Alterar regra existente|1. Clicar em Editar 2. Modificar 3. Salvar|Regra atualizada na lista.|Media|nao conseguiu visualizar - INVESTIGAR
Regras de Impacto|CT099|Ativar/Desativar regra|Toggle ativo/inativo|1. Clicar em Ativa/Inativa|Badge e opacidade alternam. Regra inativa ignorada na simulacao.|Media|nao conseguiu ver - INVESTIGAR
Regras de Impacto|CT100|Excluir regra|Remover regra|1. Clicar em Excluir 2. Confirmar|Regra removida da lista.|Media|nao conseguiu ver - INVESTIGAR
Admin: Dashboard|CT101|Acessar dashboard admin|ADMIN_PLATAFORMA acessa dashboard|1. Logar como ADMIN_PLATAFORMA 2. Acessar /admin|5 KPIs: Empresas Ativas Receita Investimento Colaboradores Gastos. Acoes Rapidas. Empresas Recentes.|Alta|passed
Admin: Dashboard|CT102|ADMIN_SUPORTE no dashboard|SUPORTE e redirecionado|1. Logar como ADMIN_SUPORTE 2. Acessar /admin|Redirecionado para /admin/empresas.|Media|nao existe usuario suporte
Admin: Dashboard|CT103|Nao-admin tenta /admin|CEO tenta acessar area admin|1. Logar como CEO 2. Acessar /admin|Pagina 403 com acesso negado e links.|Critica|corrigido (IMP-03)
Admin: Empresas|CT104|Listar empresas|ADMIN_PLATAFORMA ve lista|1. Acessar /admin/empresas|Tabela com dados. Botao Nova Empresa. Acoes: Status Detalhes Excluir.|Alta|passed
Admin: Empresas|CT105|Criar empresa pelo admin|Admin cria empresa manualmente|1. Acessar /admin/empresas/nova 2. Preencher dados 3. Criar|Empresa CEO Assinatura criados. Redirecionado.|Critica|admin recuperado - testar novamente
Admin: Empresas|CT106|Slug duplicado|Tentar criar com slug existente|1. Slug igual a empresa existente 2. Tentar criar|Erro unique constraint. Mensagem amigavel.|Alta|admin recuperado - testar novamente
Admin: Empresas|CT107|Detalhe da empresa|Visualizar detalhes|1. Clicar em nome na lista 2. Observar pagina|Grid 2x2: Info Plano Colaboradores Acoes. Breadcrumb.|Media|admin recuperado - testar novamente
Admin: Empresas|CT108|Empresa nao encontrada|ID inexistente|1. Acessar /admin/empresas/id_invalido|Pagina 404.|Media|admin recuperado - testar novamente
Admin: Empresas|CT109|Ativar/Desativar empresa|Alternar status|1. Clicar Alternar em empresa ativa|Status alterado. Colaboradores nao logam se inativa.|Critica|admin recuperado - testar novamente
Admin: Empresas|CT110|Excluir empresa|Admin exclui empresa e dados|1. Clicar Excluir 2. Confirmar|Empresa e registros removidos. Irreversivel.|Critica|admin recuperado - testar novamente
Admin: Empresas|CT111|SUPORTE tenta excluir|SUPORTE nao pode excluir|1. Logar como SUPORTE 2. Tentar excluir|Botao nao visivel ou erro de permissao.|Alta|nao existe usuario suporte
Admin: Gastos do Sistema|CT112|Listar gastos com filtro|Visualizar gastos filtrados|1. Acessar /admin/gastos 2. Selecionar mes/ano|Cards filtrados. Total do periodo.|Media|admin recuperado - testar novamente
Admin: Gastos do Sistema|CT113|Criar gasto valido|Cadastrar novo gasto|1. Preencher tipo descricao valor mes ano 2. Salvar|Gasto adicionado na lista.|Media|admin recuperado - testar novamente
Admin: Gastos do Sistema|CT114|Editar gasto|Alterar gasto via modal|1. Clicar Editar 2. Modificar 3. Salvar|Gasto atualizado.|Media|admin recuperado - testar novamente
Admin: Gastos do Sistema|CT115|Excluir gasto|Remover gasto|1. Clicar Excluir 2. Confirmar|Gasto removido.|Media|admin recuperado - testar novamente
Admin: Investimentos|CT116|Criar investimento valido|Registrar investimento|1. Acessar /admin/investimentos 2. Preencher dados 3. Salvar|Investimento adicionado na lista.|Media|admin recuperado - testar novamente
Admin: Investimentos|CT117|Editar investimento|Alterar investimento via modal|1. Clicar Editar 2. Modificar 3. Salvar|Investimento atualizado.|Media|admin recuperado - testar novamente
Admin: Investimentos|CT118|Excluir investimento|Remover investimento|1. Clicar Excluir 2. Confirmar|Investimento removido.|Media|admin recuperado - testar novamente
Admin: Financeiro|CT119|Visualizar painel financeiro|Acessar indicadores financeiros|1. Acessar /admin/financeiro|7 KPIs: Receita Gastos Investimento Lucro ROI Payback Margem. Tabela mensal 12 meses.|Alta|admin recuperado - dados reais agora
